Species,TreeName,Lat,Long
A_grandidieri,Adag_65,-22.075654,43.27557907
A_grandidieri,Adag_66,-22.0757436,43.27563783
A_grandidieri,Adag_67,-22.07600771,43.27528085
A_grandidieri,Adag_68,-22.07614643,43.27540096
A_grandidieri,Adag_69,-22.07626764,43.27543113
A_grandidieri,Adag_70,-22.0762466,43.27538596
A_grandidieri,Adag_71,-22.07635355,43.27549148
A_grandidieri,Adag_72,-22.07635405,43.27555669
A_grandidieri,Adag_73,-22.07658556,43.27527347
A_grandidieri,Adag_74,-22.07662865,43.2752438
A_grandidieri,Adag_75,-22.07651675,43.27527347
A_grandidieri,Adag_76,-22.07633796,43.27525402
A_grandidieri,Adag_77,-22.07622757,43.27520449
A_grandidieri,Adag_78,-22.07629521,43.27508689
A_grandidieri,Adag_79,-22.08016606,43.27287331
A_grandidieri,Adag_80,-22.08026086,43.2724191
A_grandidieri,Adag_81,-22.08007093,43.27233293
A_grandidieri,Adag_82,-22.08008962,43.27229999
A_grandidieri,Adag_83,-22.07998174,43.27233511
A_grandidieri,Adag_84,-22.07989449,43.27249152
A_grandidieri,Adag_85,-22.07994503,43.27247148
A_grandidieri,Adag_86,-22.07979357,43.27251775
A_grandidieri,Adag_87,-22.07981209,43.27232656
A_grandidieri,Adag_88,-22.07981804,43.27219823
A_grandidieri,Adag_89,-22.07970221,43.27215658
A_grandidieri,Adag_90,-22.07900802,43.27234098
A_grandidieri,Adag_91,-22.07882772,43.27222045
A_grandidieri,Adag_92,-22.07866427,43.27236227
A_grandidieri,Adag_93,-22.07854944,43.27225515
A_grandidieri,Adakorokor,-21.884803,44.055515
A_grandidieri,Adambabaka,-21.819222,44.475588
A_grandidieri,Adambikv,-21.883825,43.89552
A_grandidieri,Adankl,-22.405711,44.840642
A_grandidieri,AdBefa_01,-22.0777333333333,43.8944
A_grandidieri,AdBefa_02,-22.0736222222222,43.8903
A_grandidieri,AdBefa_03,-22.0560666666667,43.8894
A_grandidieri,AdBefa_04,-22.0503333333333,43.88366667
